
%RxID  X    Y     Z  Indoor   Type   FlagsIDS (custom) : 0 Distance0 Distance1 ....
     -1.00     -1.00     -1.00     -1.00     -1.00     -1.00         0         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20
       694    508.33  -1248.95      1.50      1.00      2.00   1348.44   1348.44   1348.44   1342.24   1342.24   1342.24    382.99    382.99    382.99   1078.59   1078.59   1078.59    689.32    689.32    689.32   1063.02   1063.02   1063.02    701.31    701.31    701.31
       695    878.18  -1087.51      1.50      1.00      2.00   1397.82   1397.82   1397.82   1094.31   1094.31   1094.31    438.26    438.26    438.26   1395.86   1395.86   1395.86    656.00    656.00    656.00    660.08    660.08    660.08   1089.36   1089.36   1089.36
       696    704.31     -5.68      1.50      0.00      2.00    704.33    704.33    704.33    295.74    295.74    295.74    884.30    884.30    884.30   1295.70   1295.70   1295.70   1180.27   1180.27   1180.27   1171.90   1171.90   1171.90    895.35    895.35    895.35
       697  -1327.59    148.27      1.50      1.00      2.00   1335.84   1335.84   1335.84   1028.86   1028.86   1028.86    738.20    738.20    738.20   1309.10   1309.10   1309.10    359.58    359.58    359.58   1095.50   1095.50   1095.50    688.56    688.56    688.56
       698   -778.27   -495.90      1.50      0.00      2.00    922.84    922.84    922.84    811.11    811.11    811.11   1330.79   1330.79   1330.79    463.09    463.09    463.09    543.21    543.21    543.21   1255.93   1255.93   1255.93   1460.79   1460.79   1460.79
       699    502.71    451.66      1.50      1.00      2.00    675.81    675.81    675.81    671.78    671.78    671.78   1373.62   1373.62   1373.62   1375.59   1375.59   1375.59   1079.95   1079.95   1079.95   1084.97   1084.97   1084.97    414.40    414.40    414.40
       700   -426.17   -794.20      1.50      1.00      2.00    901.32    901.32    901.32   1076.23   1076.23   1076.23    928.95    928.95    928.95    103.02    103.02    103.02    979.81    979.81    979.81   1099.52   1099.52   1099.52   1030.18   1030.18   1030.18
       701    503.42    661.15      1.50      0.00      2.00    830.99    830.99    830.99    826.87    826.87    826.87   1180.48   1180.48   1180.48   1183.37   1183.37   1183.37   1017.43   1017.43   1017.43   1024.13   1024.13   1024.13    204.93    204.93    204.93
       702   -676.81    923.67      1.50      0.00      2.00   1145.09   1145.09   1145.09    870.64    870.64    870.64    825.20    825.20    825.20   1054.34   1054.34   1054.34    978.58    978.58    978.58    185.96    185.96    185.96   1178.22   1178.22   1178.22
       703   -807.20  -1069.59      1.50      1.00      2.00   1340.00   1340.00   1340.00    722.08    722.08    722.08   1322.95   1322.95   1322.95    368.51    368.51    368.51   1086.83   1086.83   1086.83    689.99    689.99    689.99   1044.26   1044.26   1044.26
       704     86.81   -815.83      1.50      0.00      2.00    820.43    820.43    820.43   1224.54   1224.54   1224.54    416.24    416.24    416.24    588.95    588.95    588.95   1293.63   1293.63   1293.63   1414.09   1414.09   1414.09    920.38    920.38    920.38
       705    490.59   -203.41      1.50      1.00      2.00    531.09    531.09    531.09    548.51    548.51    548.51    662.71    662.71    662.71   1191.79   1191.79   1191.79   1504.41   1504.41   1504.41   1457.74   1457.74   1457.74   1069.50   1069.50   1069.50
       706   -404.42   -671.94      1.50      1.00      2.00    784.26    784.26    784.26   1112.64   1112.64   1112.64    925.01    925.01    925.01    216.36    216.36    216.36    897.90    897.90    897.90   1216.00   1216.00   1216.00   1134.68   1134.68   1134.68
       707    251.34    674.48      1.50      1.00      2.00    719.79    719.79    719.79   1007.68   1007.68   1007.68   1295.78   1295.78   1295.78   1087.08   1087.08   1087.08   1263.27   1263.27   1263.27    775.38    775.38    775.38    313.89    313.89    313.89
       708   -496.69    117.51      1.50      0.00      2.00    510.40    510.40    510.40   1501.29   1501.29   1501.29   1400.28   1400.28   1400.28    983.57    983.57    983.57    516.85    516.85    516.85    748.55    748.55    748.55   1246.47   1246.47   1246.47
       709     -2.64  -1003.62      1.50      1.00      2.00   1003.63   1003.63   1003.63   1503.67   1503.67   1503.67    521.13    521.13    521.13    516.04    516.04    516.04   1414.92   1414.92   1414.92   1235.07   1235.07   1235.07    728.48    728.48    728.48
       710   -459.42    803.00      1.50      1.00      2.00    925.13    925.13    925.13   1074.92   1074.92   1074.92   1042.49   1042.49   1042.49   1036.48   1036.48   1036.48    968.00    968.00    968.00     74.98     74.98     74.98    961.49    961.49    961.49
       711   -889.13   -373.53      1.50      1.00      2.00    964.40    964.40    964.40    784.69    784.69    784.69   1381.93   1381.93   1381.93    627.69    627.69    627.69    389.64    389.64    389.64   1299.23   1299.23   1299.23   1171.99   1171.99   1171.99
       712    342.74   -844.29      1.50      0.00      2.00    911.21    911.21    911.21   1069.96   1069.96   1069.96    158.75    158.75    158.75    843.02    843.02    843.02   1104.62   1104.62   1104.62   1157.46   1157.46   1157.46    951.67    951.67    951.67
       713    496.00   1070.67      1.50      1.00      2.00   1179.98   1179.98   1179.98   1183.36   1183.36   1183.36    831.57    831.57    831.57    826.75    826.75    826.75   1024.64   1024.64   1024.64   1016.80   1016.80   1016.80    204.66    204.66    204.66
       714    387.08     11.71      1.50      0.00      2.00    387.26    387.26    387.26    613.03    613.03    613.03    885.00    885.00    885.00   1247.95   1247.95   1247.95   1387.13   1387.13   1387.13   1231.59   1231.59   1231.59    861.77    861.77    861.77
       715   1091.97    307.46      1.50      1.00      2.00   1134.42   1134.42   1134.42    320.92    320.92    320.92   1314.36   1314.36   1314.36    958.67    958.67    958.67    691.75    691.75    691.75   1242.42   1242.42   1242.42    813.91    813.91    813.91
       716   -539.47   -756.44      1.50      0.00      2.00    929.10    929.10    929.10    966.77    966.77    966.77   1045.23   1045.23   1045.23    116.50    116.50    116.50    885.61    885.61    885.61   1078.89   1078.89   1078.89   1114.87   1114.87   1114.87
       717   -103.33    437.96      1.50      1.00      2.00    449.99    449.99    449.99   1187.08   1187.08   1187.08   1436.83   1436.83   1436.83   1363.01   1363.01   1363.01    997.91    997.91    997.91    583.61    583.61    583.61    739.78    739.78    739.78
       718   -813.28  -1060.35      1.50      1.00      2.00   1336.33   1336.33   1336.33    713.67    713.67    713.67   1327.58   1327.58   1327.58    368.64    368.64    368.64   1076.66   1076.66   1076.66    697.22    697.22    697.22   1054.84   1054.84   1054.84
       719     21.57   -964.65      1.50      0.00      2.00    964.89    964.89    964.89   1374.00   1374.00   1374.00    488.48    488.48    488.48    530.81    530.81    530.81   1243.51   1243.51   1243.51   1481.71   1481.71   1481.71    767.76    767.76    767.76
       720   1487.41    111.74      1.50      0.00      2.00   1491.60   1491.60   1491.60    500.05    500.05    500.05   1389.62   1389.62   1389.62    524.63    524.63    524.63    754.41    754.41    754.41    977.87    977.87    977.87   1242.56   1242.56   1242.56
       721  -1236.88    360.34      1.50      1.00      2.00   1288.30   1288.30   1288.30   1254.30   1254.30   1254.30    570.07    570.07    570.07   1430.74   1430.74   1430.74    431.23    431.23    431.23    893.72    893.72    893.72    843.91    843.91    843.91
       722      9.26  -1124.23      1.50      1.00      2.00   1124.27   1124.27   1124.27   1498.48   1498.48   1498.48    554.51    554.51    554.51    570.97    570.97    570.97   1162.35   1162.35   1162.35   1512.93   1512.93   1512.93    607.94    607.94    607.94
       723  -1425.61    279.75      1.50      1.00      2.00   1452.80   1452.80   1452.80   1148.21   1148.21   1148.21    591.00    591.00    591.00   1472.96   1472.96   1472.96    509.32    509.32    509.32   1095.68   1095.68   1095.68    638.89    638.89    638.89
       724   -576.27   -720.21      1.50      0.00      2.00    922.38    922.38    922.38    935.17    935.17    935.17   1086.11   1086.11   1086.11    164.58    164.58    164.58    835.62    835.62    835.62   1097.03   1097.03   1097.03   1164.48   1164.48   1164.48
       725   -335.65   -409.30      1.50      0.00      2.00    529.33    529.33    529.33   1250.73   1250.73   1250.73    952.33    952.33    952.33    485.42    485.42    485.42    780.31    780.31    780.31   1480.26   1480.26   1480.26   1364.72   1364.72   1364.72
       726    358.00  -1167.36      1.50      1.00      2.00   1221.02   1221.02   1221.02   1332.25   1332.25   1332.25    333.09    333.09    333.09    909.37    909.37    909.37    855.04    855.04    855.04   1181.08   1181.08   1181.08    668.66    668.66    668.66
       727    499.25   -883.48      1.50      1.00      2.00   1014.78   1014.78   1014.78   1015.52   1015.52   1015.52     17.44     17.44     17.44    999.41    999.41    999.41    985.35    985.35    985.35   1000.90   1000.90   1000.90    984.59    984.59    984.59
       728   -431.74    921.12      1.50      1.00      2.00   1017.28   1017.28   1017.28    990.26    990.26    990.26   1069.68   1069.68   1069.68    918.74    918.74    918.74   1082.31   1082.31   1082.31     87.71     87.71     87.71    933.36    933.36    933.36
       729    -73.31    573.63      1.50      0.00      2.00    578.29    578.29    578.29   1483.51   1483.51   1483.51   1456.35   1456.35   1456.35   1160.79   1160.79   1160.79   1089.86   1089.86   1089.86    517.28    517.28    517.28    643.58    643.58    643.58
       730   -700.83    516.05      1.50      1.00      2.00    870.33    870.33    870.33   1252.31   1252.31   1252.31    872.45    872.45    872.45   1403.55   1403.55   1403.55    596.50    596.50    596.50    403.53    403.53    403.53   1250.80   1250.80   1250.80
       731   -551.45  -1013.22      1.50      0.00      2.00   1153.56   1153.56   1153.56    959.90    959.90    959.90   1061.70   1061.70   1061.70    155.90    155.90    155.90   1108.06   1108.06   1108.06    847.35    847.35    847.35    906.03    906.03    906.03
