%%  seed (769) : [1629106838 1072886530 -17904409 1073009540 605804910 1073686347 876516458 1073050558 427874215 1073311450] ...  [1073507068 -550700992 1072962471 922832550 1072793213 -223741730 1962186939 -254293707 -465177325 377]
%%  rxid 		 txid 	 pdpid 	  doppler 	 PowerProfile(linear) 	 DelayProfile
851 	 439	 * 0.599855 *	1	3	[1]	 [0]
852 	 8	 * 0.493141 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
852 	 16	 * 0.484776 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
852 	 7	 * 0.479889 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
852 	 18	 * 0.331974 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
860 	 13	 * 0.637184 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
860 	 20	 * 0.460184 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
860 	 4	 * 0.728186 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
860 	 0	 * 0.83368 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
861 	 7	 * 0.607485 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
861 	 1	 * 0.235726 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
861 	 0	 * 0.564633 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
861 	 2	 * 0.822678 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
862 	 0	 * 0.924773 *	1	3	[1]	 [0]
862 	 20	 * 0.174968 *	1	3	[1]	 [0]
862 	 19	 * 0.179288 *	1	3	[1]	 [0]
862 	 18	 * 0.659545 *	1	3	[1]	 [0]
863 	 15	 * 0.291789 *	1	3	[0.995333 0.00466735]	 [0 1]
863 	 16	 * 0.0211174 *	1	3	[0.995333 0.00466735]	 [0 1]
863 	 12	 * 0.380479 *	1	3	[0.995333 0.00466735]	 [0 1]
863 	 17	 * 0.151537 *	1	3	[0.995333 0.00466735]	 [0 1]
865 	 17	 * 0.718012 *	1	3	[1]	 [0]
865 	 5	 * 0.20497 *	1	3	[1]	 [0]
865 	 15	 * 0.643752 *	1	3	[1]	 [0]
865 	 16	 * 0.352471 *	1	3	[1]	 [0]
866 	 5	 * 0.329689 *	1	3	[0.995333 0.00466735]	 [0 1]
866 	 15	 * 0.94602 *	1	3	[0.995333 0.00466735]	 [0 1]
866 	 17	 * 0.206083 *	1	3	[0.995333 0.00466735]	 [0 1]
866 	 16	 * 0.19676 *	1	3	[0.995333 0.00466735]	 [0 1]
867 	 19	 * 0.932972 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
867 	 0	 * 0.324708 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
867 	 13	 * 0.436877 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
867 	 18	 * 0.49813 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
873 	 11	 * 0.0690089 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
873 	 18	 * 0.283302 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
873 	 9	 * 0.0673476 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
873 	 7	 * 0.669591 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
874 	 8	 * 0.982028 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
874 	 14	 * 0.0305029 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
874 	 12	 * 0.325494 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
874 	 13	 * 0.998403 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
878 	 11	 * 0.0492076 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
878 	 9	 * 0.524157 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
878 	 10	 * 0.582469 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
878 	 247	 * 0.577113 *	1	3	[1]	 [0]
880 	 16	 * 0.269259 *	1	3	[1]	 [0]
880 	 17	 * 0.0151937 *	1	3	[1]	 [0]
880 	 15	 * 0.77414 *	1	3	[1]	 [0]
880 	 19	 * 0.00488875 *	1	3	[1]	 [0]
887 	 9	 * 0.487203 *	1	3	[0.995333 0.00466735]	 [0 1]
887 	 12	 * 0.0679857 *	1	3	[0.995333 0.00466735]	 [0 1]
887 	 14	 * 0.387847 *	1	3	[0.995333 0.00466735]	 [0 1]
887 	 1	 * 0.22728 *	1	3	[0.995333 0.00466735]	 [0 1]
